SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER,SEASON,AGE,INJURY_COUNT,INJURY_NEXT,MIN_ROLLING_10,CONTACT_RATE
22022,1630559,0022200157,2022-11-07,LAL @ UTA,L,30,2,6,0.333,0,3,0.0,7,7,1.0,0,4,4,1,0,0,0,0,11,-14,1,Austin Reaves,2022-23,27,0,0,24.9,7
22022,1630559,0022200170,2022-11-09,LAL @ LAC,L,35,3,10,0.3,1,5,0.2,1,3,0.333,4,5,9,1,0,0,1,0,8,1,1,Austin Reaves,2022-23,27,0,0,26.8,3
22022,1630559,0022200183,2022-11-11,LAL vs. SAC,L,33,7,12,0.583,0,2,0.0,5,5,1.0,2,3,5,1,1,0,3,1,19,2,1,Austin Reaves,2022-23,27,0,0,27.9,6
22022,1630559,0022200198,2022-11-13,LAL vs. BKN,W,33,5,8,0.625,3,4,0.75,2,3,0.667,0,1,1,3,0,0,1,2,15,20,1,Austin Reaves,2022-23,27,0,0,29.3,5
22022,1630559,0022200234,2022-11-18,LAL vs. DET,W,36,5,8,0.625,2,4,0.5,4,4,1.0,1,3,4,6,0,1,0,2,16,14,1,Austin Reaves,2022-23,27,0,0,30.3,6
22022,1630559,0022200247,2022-11-20,LAL vs. SAS,W,27,7,11,0.636,3,4,0.75,4,4,1.0,1,1,2,3,0,0,1,1,21,19,1,Austin Reaves,2022-23,27,0,0,30.3,5
22022,1630559,0022200259,2022-11-22,LAL @ PHX,L,36,3,5,0.6,0,1,0.0,5,5,1.0,1,2,3,4,0,1,1,5,11,-2,1,Austin Reaves,2022-23,27,0,0,31.1,10
22022,1630559,0022200282,2022-11-25,LAL @ SAS,W,29,3,8,0.375,0,3,0.0,2,2,1.0,1,5,6,2,1,0,2,1,8,15,1,Austin Reaves,2022-23,27,0,0,30.6,3
22022,1630559,0022200288,2022-11-26,LAL @ SAS,W,31,6,7,0.857,1,2,0.5,3,3,1.0,0,2,2,2,1,0,2,3,16,3,1,Austin Reaves,2022-23,27,0,0,31.5,6
22022,1630559,0022200308,2022-11-28,LAL vs. IND,L,31,2,4,0.5,2,3,0.667,7,7,1.0,0,2,2,1,0,0,1,1,13,6,1,Austin Reaves,2022-23,27,0,0,32.1,8
22022,1630559,0022200324,2022-11-30,LAL vs. POR,W,35,7,10,0.7,2,5,0.4,6,8,0.75,2,3,5,3,1,1,0,1,22,10,1,Austin Reaves,2022-23,27,0,0,32.6,9
22022,1630559,0022200331,2022-12-02,LAL @ MIL,W,32,2,4,0.5,1,2,0.5,2,2,1.0,1,1,2,2,0,0,1,0,7,17,1,Austin Reaves,2022-23,27,0,0,32.3,2
22022,1630559,0022200349,2022-12-04,LAL @ WAS,W,25,2,4,0.5,0,2,0.0,1,1,1.0,0,3,3,0,0,0,0,1,5,-4,1,Austin Reaves,2022-23,27,0,0,31.5,2
22022,1630559,0022200360,2022-12-06,LAL @ CLE,L,26,3,9,0.333,0,4,0.0,2,2,1.0,0,0,0,0,1,0,2,2,8,-20,1,Austin Reaves,2022-23,27,0,0,30.8,4
22022,1630559,0022200366,2022-12-07,LAL @ TOR,L,28,4,12,0.333,1,6,0.167,1,1,1.0,1,1,2,3,0,0,0,3,10,-11,1,Austin Reaves,2022-23,27,0,0,30.0,4
